iter	Passed	Remaining
470	735	826
471	737	824
472	738	823
473	740	821
474	741	819
475	743	818
476	744	816
477	746	814
478	747	813
479	748	811
480	750	809
481	751	807
482	753	806
483	754	804
484	756	802
485	757	801
486	759	799
487	760	798
488	762	796
489	763	794
490	764	793
491	766	791
492	767	789
493	769	788
494	770	786
495	772	784
496	773	783
497	775	781
498	777	780
499	779	779
500	781	777
501	782	776
502	784	774
503	785	773
504	787	771
505	788	769
506	790	768
507	791	766
508	793	765
509	795	764
510	797	762
511	798	761
512	799	759
513	801	757
514	802	755
515	804	754
516	805	752
517	807	751
518	808	749
519	810	747
520	811	746
521	813	744
522	814	742
523	816	741
524	817	739
525	819	738
526	820	736
527	821	734
528	823	733
529	824	731
530	826	729
531	827	728
532	829	726
533	830	724
534	832	723
535	833	721
536	834	719
537	836	718
538	837	716
539	839	714
540	840	713
541	842	711
542	843	710
543	845	708
544	846	706
545	848	705
546	849	703
547	851	702
548	853	700
549	854	699
550	856	697
551	857	696
552	859	694
553	860	693
554	862	691
555	863	689
556	865	688
557	866	686
558	868	685
559	870	683
560	871	681
561	873	680
562	874	678
563	876	677
564	877	675
565	879	674
566	880	672
567	882	670
568	883	669
569	885	667
570	886	666
571	888	664
572	889	663
573	891	661
574	892	659
575	894	658
576	895	656
577	897	655
578	898	653
579	900	651
580	901	650
581	903	648
582	904	647
583	906	645
584	907	643
585	909	642
586	910	640
587	912	639
588	913	637
589	914	635
590	916	634
591	917	632
592	919	630
593	920	629
594	922	627
595	923	626
596	925	624
597	927	623
598	928	621
599	930	620
600	931	618
601	933	617
602	934	615
603	936	613
604	937	612
605	939	610
606	940	608
607	941	607
608	943	605
609	944	604
610	946	602
611	947	600
612	949	599
613	951	597
614	952	596
615	954	594
616	955	593
617	957	591
618	958	589
619	959	588
620	961	586
621	976	593
622	978	592
623	982	591
624	984	590
625	986	589
626	988	587
627	990	586
628	992	585
629	994	584
630	996	582
631	998	581
632	999	579
633	1001	578
634	1003	576
635	1005	575
636	1007	574
637	1009	572
638	1010	571
639	1012	569
640	1015	568
641	1019	568
642	1021	567
643	1022	565
644	1024	563
645	1026	562
646	1028	560
647	1029	559
648	1031	557
649	1032	556
650	1034	554
651	1036	553
652	1038	551
653	1039	549
654	1041	548
655	1042	546
656	1043	545
657	1045	543
658	1047	541
659	1049	540
660	1050	538
661	1052	537
662	1053	535
663	1055	533
664	1056	532
665	1058	530
666	1060	529
667	1061	527
668	1062	525
669	1064	524
670	1066	522
671	1067	521
672	1069	519
673	1070	517
674	1072	516
675	1074	514
676	1075	513
677	1077	511
678	1079	510
679	1081	509
680	1083	507
681	1085	506
682	1086	504
683	1088	502
684	1090	501
685	1091	499
686	1093	498
687	1094	496
688	1096	495
689	1098	493
690	1099	491
691	1101	490
692	1103	488
693	1104	486
694	1106	485
695	1107	483
696	1109	482
697	1111	480
698	1112	479
699	1114	477
700	1116	476
701	1117	474
702	1119	472
703	1120	471
704	1122	469
705	1123	467
706	1125	466
707	1126	464
708	1127	462
709	1129	461
710	1130	459
711	1132	458
712	1133	456
713	1135	454
714	1136	453
715	1138	451
