iter	MultiRMSE
280	0.4342507664
281	0.4341332761
282	0.4335566303
283	0.4330317034
284	0.4327773627
285	0.4325533427
286	0.4320617213
287	0.4317063561
288	0.4315342708
289	0.4311955671
290	0.4309131612
291	0.4308141637
292	0.4303197196
293	0.429887713
294	0.4293554017
295	0.4286930942
296	0.4284779231
297	0.4282480973
298	0.427984497
299	0.4275264352
300	0.4273787782
301	0.4269956616
302	0.4265402719
303	0.4263994611
304	0.4261535366
305	0.4256353345
306	0.4251328313
307	0.4244624197
308	0.4243360482
309	0.4240634409
310	0.4236542663
311	0.423240571
312	0.4230563882
313	0.4226079103
314	0.4224949176
315	0.4222572836
316	0.4218686425
317	0.4215796582
318	0.4213906726
319	0.4211726807
320	0.420926384
321	0.4205509946
322	0.4202087533
323	0.4197790813
324	0.4193154426
325	0.4191370004
326	0.4187693431
327	0.4183990686
328	0.4179506864
329	0.4176771858
330	0.4174765295
331	0.4173007849
332	0.4168547613
333	0.416548136
334	0.4162752771
335	0.415824388
336	0.4153902216
337	0.4151447665
338	0.4148880226
339	0.4147265034
340	0.4144456093
341	0.4140462743
342	0.4138189427
343	0.4134878464
344	0.4130348682
345	0.4128298657
346	0.41259041
347	0.4119833116
348	0.4117724818
349	0.411121221
350	0.4106673576
351	0.410394792
352	0.4099518879
353	0.4095915282
354	0.4094146016
355	0.4091508921
356	0.4089592487
357	0.4084867388
358	0.4082278238
359	0.407708619
360	0.4075400854
361	0.4070858151
362	0.4067554437
363	0.4066754312
364	0.4062056708
365	0.4059812792
366	0.4058811507
367	0.4056275694
368	0.4051324711
369	0.4046619478
370	0.404320762
371	0.4042181086
372	0.4040652426
373	0.4037825988
374	0.403455407
375	0.4031830734
376	0.4027219077
377	0.4022303669
378	0.4018112296
379	0.4014434817
380	0.4009399
381	0.4007114823
382	0.4004635622
383	0.4001793026
384	0.3998373715
385	0.3993400631
386	0.3988036463
387	0.3984543018
388	0.398040571
389	0.3977120329
390	0.3975524427
391	0.39688555
392	0.3966559422
393	0.3962329086
394	0.3960077096
395	0.3958282787
396	0.3956415008
397	0.395371804
398	0.3951533716
399	0.3948511668
400	0.3946611018
401	0.3942316679
402	0.394062563
403	0.3937321375
404	0.3935711953
405	0.3933465873
406	0.3932276388
407	0.3929631743
408	0.3926001658
409	0.3923841078
410	0.3921433075
411	0.3919604414
412	0.3917636621
413	0.3915763102
414	0.3912636602
415	0.3907768389
416	0.3903855197
417	0.3898289026
418	0.3896805219
419	0.3894703666
420	0.3889635898
421	0.3887119274
422	0.3885863911
423	0.3881415127
424	0.3878895057
425	0.3876664262
426	0.3874860321
427	0.3873699912
428	0.3872415024
429	0.3869518075
430	0.3866507727
431	0.3864613962
432	0.3862547621
433	0.3860769839
434	0.3858413307
435	0.3854121714
436	0.3852518183
437	0.3849765002
438	0.3847923188
439	0.3845816979
440	0.3844917838
441	0.3842365465
442	0.3840841422
443	0.3837859936
444	0.3835212324
445	0.3831986418
446	0.382966677
447	0.382783097
448	0.3825724302
449	0.3823431372
450	0.3821453301
451	0.3819762707
452	0.381905944
453	0.3816804634
454	0.3814331363
455	0.3812340113
456	0.3809209554
457	0.3806431721
458	0.3803845444
459	0.3801117142
460	0.3797829283
461	0.3795052776
462	0.3793739269
463	0.3790322158
464	0.3787317753
465	0.3785827539
466	0.3782609555
467	0.3779791001
468	0.3778292023
469	0.3775394353
470	0.3773528217
471	0.3770838326
472	0.3769151919
473	0.3766181218
474	0.3765309499
475	0.3761941181
476	0.375871921
477	0.3756696167
478	0.3755633931
479	0.3754113183
480	0.3752141299
481	0.3750409163
482	0.3749215417
483	0.3744311066
484	0.3742167614
485	0.3739699893
486	0.3737570836
487	0.3735376458
488	0.3733282601
489	0.3731486541
490	0.373044727
491	0.3725948925
492	0.3723240854
493	0.3721424092
494	0.3718836314
495	0.3715897314
496	0.3714020342
497	0.3711601381
498	0.3708619835
499	0.3706752094
500	0.370401869
501	0.3703079271
502	0.3701590418
503	0.3699391186
504	0.3697104479
505	0.3694151779
506	0.3691516553
507	0.368901718
508	0.3685965997
509	0.3682575493
510	0.3680526193
511	0.3679130994
512	0.3676511995
513	0.367421464
514	0.3671095581
515	0.366954874
516	0.3667759423
517	0.3664650005
518	0.3663499782
519	0.3662049658
520	0.3660431486
521	0.3658210132
522	0.3657257893
523	0.3655459921
524	0.3653643201
525	0.3652913736
526	0.3651460322
527	0.3647976772
528	0.3646567701
529	0.3643308258
530	0.3640698651
531	0.363908522
532	0.3637730019
533	0.3634343536
534	0.3632545685
535	0.3629511676
536	0.3628202623
537	0.3627198647
538	0.3625486938
539	0.3624151728
540	0.362094001
541	0.3618627831
542	0.3615916586
543	0.3615029247
544	0.3613591847
545	0.3612426627
546	0.3611097805
547	0.3608436479
548	0.3605529234
549	0.3604832566
550	0.3602572622
551	0.3600914851
552	0.3598412013
553	0.3596300427
554	0.359424244
555	0.3592298897
556	0.3591443774
557	0.3589560308
558	0.3587124695
559	0.3585404627
560	0.358245795
561	0.3580063289
562	0.3577868932
563	0.3576166085
564	0.3574175011
565	0.3571929859
566	0.3569335334
567	0.3566435095
568	0.3562369428
569	0.3561200453
570	0.3558524627
571	0.3556577122
572	0.3552446774
573	0.3551386783
574	0.3549982164
575	0.3547791185
576	0.3544995003
577	0.3541869527
578	0.3540403611
579	0.3538572233
580	0.3536722743
581	0.3534712311
582	0.3532901449
583	0.3531732201
584	0.3529008821
585	0.3527091796
586	0.3523989864
587	0.3522056153
588	0.351984948
589	0.3516643508
590	0.3515433541
591	0.3512928908
592	0.3509546612
593	0.3507920145
594	0.3506226862
595	0.3504447245
596	0.3502810078
597	0.3500470632
598	0.3498643058
599	0.3497102398
600	0.3494527648
601	0.3492161734
602	0.349167277
603	0.3490350995
604	0.3489201779
605	0.3487012757
606	0.3485907942
607	0.3484917872
608	0.348100639
609	0.3478623243
610	0.3475662753
611	0.3473327625
612	0.3471587856
613	0.3468975102
614	0.3466754967
615	0.3466015634
616	0.3463199549
617	0.3460258241
618	0.3458494141
619	0.3456978238
620	0.3454162554
621	0.345089059
622	0.344894494
623	0.3447367437
624	0.3446299202
625	0.3444335628
626	0.344297809
627	0.3442124844
628	0.3439731895
629	0.3437370602
630	0.3436410324
631	0.3434224579
632	0.3432526914
633	0.3431687341
634	0.3429778853
635	0.3426303661
636	0.3423307102
637	0.3420687859
638	0.341723413
639	0.341510952
640	0.3413477751
641	0.3410996223
642	0.3409958821
643	0.3408938684
644	0.3405221934
645	0.3404686797
646	0.3402334261
647	0.3398368102
648	0.33975126
649	0.3395496169
650	0.3393425909
651	0.3392203737
652	0.3390101184
653	0.3387935198
654	0.3385890677
655	0.3383922556
656	0.338087733
657	0.3378786763
658	0.3375385686
659	0.3373932198
660	0.3372291435
661	0.3368770352
662	0.3366676539
663	0.3364114808
664	0.3362796577
665	0.3361657945
666	0.335991588
667	0.3358277146
668	0.3357933179
669	0.3356430685
670	0.3355564747
671	0.3354388011
672	0.3352763194
673	0.3351561506
674	0.3349830679
675	0.334877873
676	0.3345878082
677	0.3343253097
678	0.3342137143
679	0.334131267
680	0.333962291
681	0.3338549936
682	0.3335568305
683	0.333422392
684	0.3333289884
685	0.3332192454
686	0.3330643293
687	0.3329821203
688	0.3328551042
689	0.3326439166
690	0.3324710674
691	0.3322809673
692	0.3322746873
693	0.3321174108
694	0.3318957586
695	0.3317848622
696	0.3313705395
697	0.3312667925
698	0.3310420529
699	0.3308209384
700	0.3307471455
701	0.3305260885
702	0.3303907366
703	0.3300764516
704	0.3298187134
705	0.3294570641
706	0.329288606
707	0.3291275461
708	0.3289146638
709	0.3286317903
710	0.3284794972
711	0.3282780574
712	0.3280803263
713	0.3279400933
714	0.3277557983
715	0.3276189223
716	0.32744534
717	0.3272615982
718	0.3269952395
719	0.3269349964
720	0.3266988224
721	0.3263869676
722	0.3262460198
723	0.3260231457
724	0.3257503869
725	0.3256801893
726	0.3255714121
727	0.3254484425
728	0.3253894028
729	0.3251693661
730	0.3250139238
731	0.3249073273
732	0.3247858502
733	0.3245876303
734	0.3243495134
735	0.3242867832
736	0.3241487407
737	0.3240499102
738	0.3238298863
739	0.3237135267
740	0.3234810008
741	0.3232934805
742	0.3231590411
743	0.3230394315
744	0.3229853597
745	0.3227802298
746	0.3227367314
747	0.3226042436
748	0.3225076684
749	0.3222756803
750	0.3221121637
751	0.3219178001
752	0.3218544296
753	0.3217426269
754	0.3216911261
755	0.3214023829
756	0.3213375388
757	0.3209616418
758	0.3209074293
759	0.320672363
760	0.3203854679
761	0.319991351
762	0.3198658972
763	0.3197702854
764	0.3196195796
765	0.3194175095
766	0.3193351916
767	0.3192188445
768	0.3190408404
769	0.3189649504
770	0.3188390877
771	0.3185887862
772	0.3184128802
773	0.3182014281
774	0.3181372063
775	0.3179639872
776	0.3178868982
777	0.3177619995
778	0.3176701252
779	0.3175587876
780	0.3174083439
781	0.3171580966
782	0.3170593357
783	0.3169332104
784	0.3168852387
785	0.3167293739
786	0.3164210195
787	0.316189473
788	0.3159498895
789	0.3157163085
790	0.3155015851
791	0.3154491177
792	0.3153265513
793	0.3152742263
794	0.3148702707
795	0.3147290404
796	0.3147077364
797	0.3146651594
798	0.3144867743
799	0.3143936186
800	0.3143114269
801	0.3141839824
802	0.3138773407
803	0.3137630703
804	0.313670324
805	0.3133927453
806	0.3132510999
807	0.3131862304
808	0.312979089
809	0.3127348394
810	0.3124138178
811	0.3123782255
812	0.31226405
813	0.3120637245
814	0.3119366815
815	0.3118044728
816	0.3115918257
817	0.3115203217
818	0.3113979777
819	0.3110717416
820	0.3108720057
821	0.310707398
822	0.3105695749
823	0.310444807
824	0.3103227147
825	0.3101749642
826	0.3099896779
827	0.3097591204
828	0.3096335344
829	0.309297408
830	0.3090262812
831	0.308781429
832	0.3086834163
833	0.3085312917
834	0.3083777632
835	0.3079697721
836	0.307755023
837	0.3076639644
838	0.3074891084
839	0.3073488008
840	0.3070961395
841	0.3069083353
842	0.3066683888
843	0.3065168195
844	0.3062918802
845	0.3062111914
846	0.3060515841
847	0.3059120987
848	0.3057987264
849	0.3056004081
850	0.3055066863
851	0.3053549385
852	0.3052158389
853	0.3051170067
854	0.3050656727
855	0.3049324653
856	0.3047536813
857	0.3046277467
858	0.304316736
859	0.3041980073
860	0.3040670316
861	0.3039879991
862	0.3038578466
863	0.3038227676
864	0.3036280571
865	0.3033135825
866	0.3031076171
867	0.3029730996
868	0.3027159851
869	0.3025698613
870	0.3024642023
871	0.3022730789
872	0.3021230319
873	0.3019939753
874	0.3018195887
875	0.3017080846
876	0.3015885227
877	0.3015300676
878	0.3013384467
879	0.3012220907
880	0.3011076354
881	0.3009578884
882	0.3008895491
883	0.3007917921
884	0.300668757
885	0.3006128248
886	0.3004452049
887	0.3003519668
888	0.3001985053
889	0.3000446663
890	0.299952837
891	0.2997831442
892	0.2996054962
893	0.2995740918
894	0.2994540838
895	0.2992939633
896	0.2992075627
897	0.2990889891
898	0.2990013333
899	0.2988633424
900	0.2986902248
901	0.2984771418
902	0.2982913372
903	0.2981721561
904	0.2978369968
905	0.2976333022
906	0.2975625043
907	0.2973691462
908	0.29728844
909	0.2971148846
910	0.296907479
911	0.2968332489
912	0.2964500878
913	0.2962767687
914	0.296162773
915	0.2960939131
916	0.2960106769
917	0.2958257902
918	0.2957144397
919	0.2955458785
920	0.2954434394
921	0.2953876451
922	0.2951783124
923	0.2950687685
924	0.2949332912
925	0.2948736014
926	0.2947245344
927	0.2945923233
928	0.2944510125
929	0.2943527193
930	0.2942077316
931	0.2941071049
932	0.2939927023
933	0.2939403188
934	0.2938002148
935	0.2937154005
936	0.2936415031
937	0.2934112536
938	0.2932326784
939	0.2931681241
940	0.2929411975
941	0.2928202173
942	0.292708939
943	0.2925924255
944	0.2925015951
945	0.2924141622
946	0.2922949563
947	0.2921267154
948	0.2919407784
949	0.2917661734
950	0.2916228253
951	0.2914363498
952	0.2913470321
953	0.2912586084
954	0.2911199561
955	0.2909923279
956	0.2908561364
957	0.2905625473
958	0.2903809181
959	0.2903521172
960	0.2902208517
961	0.290103828
962	0.2900062384
963	0.2899201667
964	0.2898805933
965	0.2897494601
966	0.2895911819
967	0.2894890021
968	0.2893265994
969	0.2890916848
970	0.2889217179
971	0.2887770631
972	0.2885962819
973	0.2884563971
974	0.2882596307
975	0.2881795267
976	0.2880872886
977	0.2879578128
978	0.2878630666
979	0.2877341646
980	0.2876553811
981	0.2875285098
982	0.2875152595
983	0.2872916805
984	0.287065455
985	0.2868634662
986	0.2867746012
987	0.2866840271
988	0.2865190095
989	0.2864405013
990	0.2863751326
991	0.2861817019
992	0.2861001597
993	0.2859973411
994	0.2859049805
995	0.2857423896
996	0.2856507958
997	0.2855268451
998	0.285429352
999	0.2852581574
